yield,current,total,roa,class
5.32,238.09 ,-1.6,2.86,1
0,58.70 ,-1.57,-12.65,0
0,75.99 ,-1.57,-4.17,0
0.63,182.16 ,-1.57,0.64,0
2.43,311.08 ,-1.51,2.38,1
2.83,126.27 ,-1.49,0.93,1
6.64,509.37 ,-1.48,8.4,1
0,125.45 ,-1.45,0.06,0
0,132.71 ,-1.44,-1.93,0
0.79,217.95 ,-1.44,1.39,0
4,260.78 ,-1.41,4.52,1
5.21,213.62 ,-1.39,7.6,1
1.78,656.10 ,-1.38,2.03,1
4.07,122.11 ,-1.32,2.41,1
3.13,221.77 ,-1.27,3.92,1
2.81,254.61 ,-1.25,3.46,1
3.55,176.05 ,-1.24,5.71,1
0,222.65 ,-1.21,-3.18,0
0,345.15 ,-1.12,3.21,0
1.97,182.00 ,-1.11,0.67,1
3.71,229.04 ,-1.08,2.46,1
2.19,146.52 ,-1.07,0.95,1
1.46,195.82 ,-1.04,1.82,0
0,261.83 ,-1.01,0.52,0
0,69.84 ,-0.98,4.78,0
0.8,100.60 ,-0.95,1.79,0
4.2,294.07 ,-0.88,2.12,1
2.6,107.21 ,-0.86,0.38,1
2.77,130.83 ,-0.84,5.33,1
4.04,204.98 ,-0.78,1.78,1
6.03,148.13 ,-0.69,4.2,1
1.76,177.69 ,-0.69,0.89,1
2.62,85.31 ,-0.66,4.17,1
0,101.40 ,-0.61,-6.17,0
3.77,185.66 ,-0.59,10.8,1
1.83,100.42 ,-0.58,-0.12,1
0,231.29 ,-0.54,-0.45,0
2.67,278.00 ,-0.54,4.56,1
0.99,123.88 ,-0.52,-0.7,0
0.95,132.39 ,-0.51,2.57,0
0.78,221.52 ,-0.5,1.2,0
2.41,686.85 ,-0.49,2.53,1
2.79,458.84 ,-0.46,1.82,1
3.1,152.19 ,-0.45,2.72,1
5.26,198.48 ,-0.43,10.43,1
2.78,213.93 ,-0.42,5.48,1
1.42,160.79 ,-0.38,2.37,0
1.17,217.11 ,-0.37,2.28,0
0.78,353.67 ,-0.37,1.46,0
2.52,146.83 ,-0.36,4.07,1
0,220.60 ,-0.3,4.59,0
0,1173.76 ,-0.3,-2.99,0
0,69.98 ,-0.28,-0.91,0
1.55,180.65 ,-0.26,1.24,0
4.87,128.78 ,-0.25,1.3,1
6.36,149.69 ,-0.22,3.91,1
0,47.22 ,-0.19,-0.32,0
5.27,229.74 ,-0.18,5.44,1
1.81,99.52 ,-0.07,0.95,1
0,1274.82 ,-0.07,0.38,0
0,162.39 ,-0.03,3.66,0
1.66,1933.67 ,-0.01,0.86,0
2.31,373.66 ,0,5.12,1
0,445.34 ,0.03,-0.68,0
2.34,216.00 ,0.04,1.92,1
2.62,221.43 ,0.04,4.79,1
3.53,244.21 ,0.08,2.05,1
5.29,246.31 ,0.09,4.44,1
0.71,153.54 ,0.1,2.93,0
0,145.57 ,0.15,-0.18,0
1.46,134.32 ,0.16,2.18,0
1.86,189.63 ,0.26,3.86,1
1.08,212.83 ,0.26,0.82,0
3.23,270.90 ,0.37,2.97,1
5.61,162.68 ,0.38,6.5,1
0.16,94.42 ,0.43,1.47,0
0,125.11 ,0.48,2.18,0
6.42,89.68 ,0.54,2.52,1
5.04,138.56 ,0.54,-0.46,1
0,60.15 ,0.56,0.33,0
5.58,219.80 ,0.58,6.62,1
2.55,297.71 ,0.58,7.62,1
0,177.58 ,0.6,1.95,0
3.7,198.75 ,0.6,5.32,1
0,129.29 ,0.62,1.71,0
3.79,127.70 ,0.64,3.79,1
5.35,232.53 ,0.66,6.48,1
1.33,1102.12 ,0.67,9.76,0
1.65,131.42 ,0.68,1.46,0
5.07,77.18 ,0.71,2.66,1
5.62,205.80 ,0.72,2.99,1
4.06,181.25 ,0.78,9.13,1
0,30.96 ,0.79,0.28,0
3.12,129.39 ,0.79,3.55,1
0,212.40 ,0.79,-0.4,0
6.09,443.92 ,0.79,3.83,1
1.69,311.13 ,0.85,0.51,0
2.56,282.37 ,0.86,3.62,1
2.85,213.81 ,0.88,1.89,1
1.03,686.16 ,0.89,2.06,0
5.43,129.12 ,0.91,7.57,1
0,207.31 ,0.91,-0.37,0
1.32,193.24 ,0.95,0.49,0
5.73,225.07 ,0.95,3.61,1
0,158.98 ,0.97,0.91,0
2.78,110.33 ,0.98,2.2,1
2.35,159.87 ,0.99,4.04,1
1.9,104.43 ,1.01,1.87,1
2.63,120.44 ,1.02,2.2,1
2.11,653.69 ,1.03,3.64,1
1.38,50.33 ,1.1,-4.72,0
2.1,103.67 ,1.16,1.33,1
1.34,662.06 ,1.16,2.59,0
0,1353.51 ,1.16,-8.83,0
0,1317.16 ,1.18,2.16,0
5.25,189.81 ,1.21,2.55,1
3.36,87.35 ,1.27,0.93,1
2.97,224.92 ,1.3,4.3,1
0.72,321.98 ,1.32,1.87,0
1.52,246.00 ,1.36,1.16,0
2.1,211.66 ,1.37,3.98,1
2.09,161.72 ,1.41,0.32,1
2.92,247.12 ,1.44,3.85,1
5.15,122.12 ,1.47,6.52,1
2.48,160.83 ,1.47,-1.62,1
4.04,224.31 ,1.47,4.4,1
1.48,376.21 ,1.47,0.59,0
0,1320.03 ,1.48,1.68,0
3.57,342.54 ,1.49,3.92,1
4.26,311.47 ,1.5,1.86,1
0,128.18 ,1.51,-2.29,0
3.08,117.47 ,1.55,4.02,1
6.19,85.67 ,1.56,0.62,1
1.08,141.86 ,1.56,1.48,0
3.46,130.05 ,1.59,2.9,1
2.03,134.80 ,1.64,1.7,1
4.25,136.01 ,1.68,4.54,1
3.13,123.78 ,1.7,1.58,1
1.3,604.50 ,1.71,1.54,0
5.81,162.86 ,1.73,6.3,1
4.97,312.67 ,1.75,6.74,1
2.91,353.92 ,1.77,3.66,1
5.4,147.68 ,1.84,2.48,1
0,243.74 ,1.85,0.62,0
1.5,123.44 ,1.87,1.16,0
2.66,139.06 ,1.87,3.17,1
0,148.92 ,1.88,-0.08,0
0,97.18 ,1.95,2,0
4.58,192.09 ,1.97,2.25,1
2.25,171.12 ,1.99,4.37,1
6.64,166.87 ,2.01,6.6,1
4.98,272.57 ,2.01,5.43,1
1.79,205.89 ,2.02,8.8,1
3.62,145.04 ,2.08,3.09,1
4.79,146.93 ,2.08,4.99,1
3.38,225.27 ,2.08,6.12,1
4.5,224.76 ,2.11,7.02,1
0,1278.22 ,2.12,4.46,0
4.99,160.49 ,2.15,4.09,1
3.73,257.72 ,2.15,0.36,1
2.51,152.13 ,2.26,2.61,1
4.72,160.92 ,2.27,5.15,1
3.77,156.30 ,2.34,3.27,1
0,160.12 ,2.35,4.97,0
1.18,317.01 ,2.43,5.64,0
1.82,164.90 ,2.46,0.45,1
4.67,136.64 ,2.53,3.33,1
0,190.56 ,2.54,-5.42,0
0,139.03 ,2.58,-0.78,0
2.87,202.40 ,2.59,4.86,1
2.03,168.25 ,2.64,1.83,1
0.3,141.15 ,2.66,2.11,0
6.22,141.90 ,2.66,5.11,1
0,173.78 ,2.69,-0.65,0
0,131.13 ,2.73,2.22,0
3.15,24.59 ,2.74,3.26,1
0,444.62 ,2.77,0.42,0
0,116.52 ,2.79,1.37,0
2.85,139.20 ,2.79,1.29,1
3.98,274.54 ,2.8,7.27,1
1.49,150.41 ,2.84,0.05,0
4.2,162.84 ,2.85,4.65,1
3.48,1519.16 ,2.86,6.09,1
1.69,186.56 ,2.89,3.63,0
2.84,224.92 ,2.96,3.63,1
4.11,131.33 ,2.99,2.63,1
2.55,199.88 ,2.99,6.31,1
4.04,69.39 ,3.03,7.14,1
2.72,179.35 ,3.05,5.82,1
3.69,174.96 ,3.08,4.38,1
4.24,233.35 ,3.09,7.62,1
1.24,152.56 ,3.11,1.85,0
2.91,87.89 ,3.12,2.24,1
3.93,124.68 ,3.13,9.75,1
2.28,244.90 ,3.16,4.1,1
3.79,103.71 ,3.18,-1.87,1
5.97,147.90 ,3.18,2.6,1
0.75,146.32 ,3.22,-0.91,0
2.53,228.33 ,3.25,3.18,1
2.06,336.01 ,3.26,3.35,1
5.42,171.20 ,3.28,3.81,1
4.34,416.71 ,3.34,8.04,1
2.23,931.02 ,3.38,3.4,1
1.56,111.77 ,3.39,3.81,0
0,173.77 ,3.46,4.08,0
3.01,361.92 ,3.48,3.99,1
0.77,582.09 ,3.48,4,0
0,7215.22 ,3.51,2.17,0
0.87,182.37 ,3.53,7.75,0
1.35,169.28 ,3.54,4.78,0
3.8,104.70 ,3.57,2.13,1
1.53,166.28 ,3.59,3.89,0
6.3,170.03 ,3.59,5.05,1
0.57,116.22 ,3.61,1.34,0
2.13,191.03 ,3.63,3.28,1
2.97,367.28 ,3.63,5.01,1
0,126.35 ,3.64,3.45,0
2.16,309.25 ,3.65,3.28,1
2.5,103.01 ,3.67,3.35,1
4.25,150.05 ,3.67,0.7,1
0.48,264.57 ,3.69,2.83,0
3.2,120.94 ,3.73,2.93,1
4.44,306.12 ,3.83,3.93,1
0,198.60 ,3.88,4.73,0
